iter	RMSE
474	282911.3933
475	282834.1361
476	282706.0316
477	282607.3598
478	282509.7908
479	282313.2523
480	282221.4299
481	282134.5147
482	281928.4824
483	281826.6918
484	281704.8162
485	281499.2004
486	281436.5016
487	281425.0268
488	281410.7288
489	281238.6122
490	281183.5428
491	281057.2376
492	281048.4206
493	280958.6949
494	280869.8493
495	280749.0651
496	280638.5471
497	280555.6524
498	280447.3496
499	280238.0231
500	280081.9245
501	279893.3679
502	279872.3488
503	279797.1016
504	279641.5314
505	279516.1088
506	279427.3116
507	279284.7941
508	279106.5138
509	279052.4971
510	279001.8662
511	278999.81
512	278887.8564
513	278782.7101
514	278673.3855
515	278531.1142
516	278461.9477
517	278436.1161
518	278434.5875
519	278361.2447
520	278308.9133
521	278195.3998
522	278190.9737
523	278186.6277
524	278097.2857
525	277999.5797
526	277904.6885
527	277807.0759
528	277668.993
529	277587.4597
530	277543.6143
531	277438.3974
532	277330.8092
533	277302.8969
534	277214.6615
535	277080.3349
536	276999.3933
537	276883.572
538	276743.8247
539	276647.0677
540	276550.0861
541	276512.2324
542	276476.4173
543	276472.8841
544	276349.022
545	276262.8352
546	276211.3454
547	276190.6314
548	276128.517
549	276125.16
550	276085.0141
551	275956.1864
552	275946.7528
553	275852.9245
554	275721.0365
555	275677.1572
556	275605.5377
557	275458.3254
558	275360.1018
559	275292.8153
560	275265.6525
561	275175.6867
562	275157.3602
563	275133.441
564	275111.5022
565	274928.5659
566	274827.2866
567	274737.1791
568	274650.1039
569	274536.2702
570	274456.1537
571	274411.7712
572	274398.5445
573	274344.31
574	274264.5201
575	274122.4476
576	274073.1999
577	274001.5418
578	273859.7117
579	273856.1242
580	273766.9476
581	273718.3606
582	273677.7722
583	273652.2214
584	273588.9793
585	273470.8466
586	273409.8801
587	273321.9041
588	273215.3875
589	273142.8393
590	273026.7036
591	272837.2677
592	272794.4058
593	272779.3696
594	272710.4444
595	272673.491
596	272607.7189
597	272602.2142
598	272486.3817
599	272413.3354
600	272300.8803
601	272217.7412
602	272152.5462
603	272062.147
604	271955.879
605	271880.9042
606	271834.8519
607	271769.0774
608	271642.0132
609	271463.2775
610	271444.752
611	271339.8597
612	271234.6683
613	271144.1296
614	271069.6026
615	270966.0708
616	270947.7471
617	270894.1273
618	270822.0457
619	270700.2369
620	270602.1559
621	270560.6664
622	270526.1575
623	270508.5087
624	270421.6124
625	270331.0875
626	270317.821
627	270302.9117
628	270262.7178
629	270236.21
630	270201.3411
631	270164.5985
632	270028.9967
633	269962.023
634	269944.4808
635	269852.0779
636	269793.1227
637	269737.4203
638	269613.8756
639	269572.458
640	269458.5479
641	269400.0196
642	269313.7049
643	269276.6292
644	269194.9502
645	269159.4709
646	269091.5257
647	269030.2711
648	268933.4531
649	268898.5241
650	268744.0444
651	268681.4025
652	268566.0601
653	268483.0234
654	268409.0284
655	268304.6408
656	268273.2554
657	268153.6988
658	268055.0558
659	267985.8555
660	267956.8161
661	267919.6284
662	267891.0038
663	267818.3288
664	267720.7911
665	267658.5238
666	267597.8559
667	267586.8138
668	267518.9215
669	267421.6102
670	267397.3917
671	267354.0289
672	267291.9518
673	267223.0089
674	267138.5605
675	267037.9099
676	266964.4479
677	266912.9345
678	266801.3276
679	266741.5874
680	266682.5596
681	266623.5959
682	266517.2001
683	266494.4872
684	266445.2141
685	266352.2901
686	266287.2965
687	266239.1244
688	266190.5264
689	266140.2903
690	266026.6722
691	265971.3263
692	265928.4424
693	265767.7146
694	265703.3938
695	265691.6355
696	265600.9381
697	265543.111
698	265497.6426
699	265449.478
700	265392.9788
701	265336.4825
702	265318.1639
703	265297.7863
704	265215.0127
705	265129.2843
706	265072.7167
707	265053.5515
708	264975.533
709	264836.6689
710	264800.4342
711	264775.7092
712	264697.3302
713	264666.5176
714	264594.66
715	264585.7654
716	264535.0299
717	264477.5341
718	264437.4554
719	264392.395
720	264382.3015
721	264283.3599
722	264233.3833
723	264160.4724
724	264080.4642
725	264017.1312
726	263953.1105
727	263873.578
728	263814.0445
729	263751.8325
730	263732.5222
731	263632.0215
732	263596.4491
733	263520.346
734	263435.9437
735	263413.5767
736	263380.9212
737	263329.183
738	263286.1207
739	263212.4942
740	263137.34
741	263023.303
742	262948.5167
743	262904.3805
744	262788.4249
745	262680.5222
746	262622.4454
747	262575.5623
748	262510.4149
749	262467.3773
750	262418.5685
751	262332.6504
752	262292.9731
753	262254.2234
754	262202.6448
755	262123.9997
756	262076.5184
757	262061.431
758	262018.5635
759	261944.7853
760	261810.7952
761	261745.7206
762	261622.8963
763	261602.2468
764	261567.2738
765	261480.9164
766	261384.5279
767	261290.3677
768	261263.5205
769	261203.0505
770	261096.8822
771	261021.6569
772	260994.389
773	260958.0602
774	260943.5313
775	260871.5024
776	260786.6416
777	260721.1199
778	260621.4143
779	260559.1743
780	260504.3416
781	260423.7959
782	260358.2466
783	260198.3508
784	260135.5538
785	260050.8934
786	259973.4141
787	259898.7052
788	259801.1088
789	259756.1779
790	259685.7215
791	259656.466
792	259589.0909
793	259513.5133
794	259300.3646
795	259234.9721
796	259225.2832
797	259209.2778
798	259111.3652
799	259040.3862
800	258986.5425
801	258895.7321
802	258852.4275
803	258793.9082
804	258737.0824
805	258668.9856
806	258610.4657
807	258549.7807
808	258442.3166
809	258388.3897
810	258353.3277
811	258336.2141
812	258255.7793
813	258240.0704
814	258190.6173
815	258141.3958
816	258096.7068
817	258042.7776
818	257951.0329
819	257918.4197
820	257878.1336
821	257809.2303
822	257763.871
823	257736.3371
824	257663.0452
825	257601.1794
826	257546.7787
827	257433.6313
828	257380.1291
829	257334.2533
830	257215.9903
831	257161.018
832	257122.1229
833	257044.3335
834	257007.5997
835	256951.4198
836	256928.3175
837	256873.3267
838	256733.159
839	256700.7949
840	256669.6644
841	256645.4012
842	256584.057
843	256532.5666
844	256503.6764
845	256439.4443
846	256402.4443
847	256347.2666
848	256339.0167
849	256333.0073
850	256282.0469
851	256228.1973
852	256181.5319
853	256134.6897
854	256057.9403
855	256016.7222
856	255989.8856
857	255942.2374
858	255817.8006
859	255777.408
860	255752.4224
861	255745.3636
862	255724.1027
863	255691.9021
864	255676.1385
865	255671.1909
866	255619.5919
867	255573.3972
868	255523.3176
869	255481.9009
870	255441.8496
871	255435.9112
872	255395.5126
873	255355.3694
874	255326.4448
875	255284.0321
876	255245.418
877	255210.0826
878	255188.4739
879	255143.2087
880	255115.5578
881	255057.9324
882	255011.7555
883	254988.2954
884	254909.8631
885	254841.1985
886	254782.3492
887	254703.9571
888	254616.6268
889	254513.661
890	254472.0559
891	254424.9779
892	254382.7285
893	254357.1294
894	254287.0966
895	254244.9673
896	254205.8155
897	254113.1862
898	254068.0367
899	253997.7581
900	253973.4128
901	253902.3765
902	253853.7581
903	253738.0832
904	253732.8465
905	253721.1047
906	253662.6883
907	253593.3619
908	253583.4825
909	253563.9693
910	253512.6954
911	253425.0289
912	253395.335
913	253343.9017
914	253314.1303
915	253277.6744
916	253203.539
917	253139.5017
918	253079.0186
919	253035.1481
920	252967.3234
921	252841.4726
922	252808.9207
923	252799.458
924	252774.3347
925	252746.43
926	252723.7343
927	252648.6245
928	252616.5094
929	252590.5359
930	252494.3767
931	252446.6215
932	252437.9637
933	252392.6887
934	252371.4561
935	252300.2164
936	252292.5592
937	252205.1867
938	252168.1402
939	252147.7816
940	252094.6612
941	251911.5087
942	251861.6707
943	251766.5642
944	251715.0428
945	251697.1523
946	251696.5503
947	251587.2315
948	251492.8563
949	251456.0494
950	251413.0253
951	251310.8637
952	251222.2021
953	251111.0325
954	251075.4041
955	250990.2909
956	250989.7107
957	250935.6435
958	250871.0981
959	250800.3966
960	250739.1131
961	250695.4893
962	250674.4166
963	250636.2777
964	250592.3646
965	250572.1419
966	250547.0159
967	250485.2564
968	250467.1263
969	250415.0939
970	250402.8902
971	250362.5518
972	250336.778
973	250273.5043
974	250225.7814
975	250183.8992
976	250145.0247
977	250082.6416
978	250025.2859
979	250000.5128
980	249689.8085
981	249634.998
982	249541.2772
983	249460.0808
984	249422.1466
985	249393.2764
986	249370.0098
987	249314.7132
988	249243.8894
989	249222.8728
990	249153.0013
991	249061.3897
992	249027.717
993	248974.2723
994	248925.9969
995	248851.7326
996	248819.5741
997	248772.3592
998	248741.567
999	248714.8756
