iter	Passed	Remaining
397	914	1383
398	916	1380
399	918	1378
400	920	1375
401	922	1372
402	924	1370
403	927	1367
404	929	1365
405	931	1362
406	933	1359
407	935	1357
408	937	1354
409	939	1352
410	941	1349
411	943	1347
412	947	1345
413	948	1343
414	950	1340
415	952	1337
416	954	1335
417	956	1332
418	959	1329
419	961	1327
420	962	1324
421	965	1322
422	967	1319
423	969	1316
424	971	1313
425	973	1311
426	975	1308
427	977	1306
428	979	1303
429	981	1301
430	983	1298
431	985	1296
432	988	1293
433	990	1291
434	992	1288
435	994	1286
436	996	1283
437	998	1280
438	1000	1278
439	1002	1275
440	1004	1273
441	1006	1270
442	1008	1268
443	1011	1266
444	1013	1263
445	1015	1261
446	1019	1261
447	1022	1260
448	1026	1259
449	1029	1258
450	1035	1260
451	1038	1258
452	1040	1256
